,Size,Method,MSE
473,75,Random Forest,0.4125319792464707
474,80,Random Forest,0.842202542674509
475,85,Random Forest,0.533904167255483
476,90,Random Forest,0.596106892442916
477,95,Random Forest,0.431909797177792
478,100,Random Forest,0.9644085445789621
479,105,Random Forest,0.5274942581080947
480,110,Random Forest,0.48950090136241725
481,115,Random Forest,0.5250432246461102
482,120,Random Forest,0.4028320008502176
483,20,Random Forest,0.9522190393547707
484,25,Random Forest,0.6257085855210566
485,30,Random Forest,0.35246590956214724
486,35,Random Forest,1.339807695594278
487,40,Random Forest,0.7480374596105374
488,45,Random Forest,0.9318588990111354
489,50,Random Forest,0.538542249076024
490,55,Random Forest,0.5039407877246219
491,60,Random Forest,0.5349542499329157
492,65,Random Forest,0.38392601729053444
493,70,Random Forest,0.5905351764136332
494,75,Random Forest,0.6234308682666602
495,80,Random Forest,0.6322837694692358
496,85,Random Forest,0.23424363801608333
497,90,Random Forest,0.4401210569126383
498,95,Random Forest,0.568075959182671
499,100,Random Forest,0.7641394749578783
500,105,Random Forest,0.7374460208953888
501,110,Random Forest,0.8489558819945717
502,115,Random Forest,0.4604939006521907
503,120,Random Forest,0.5191357252749976
504,20,Random Forest,1.478241209051035
505,25,Random Forest,0.446242151266197
506,30,Random Forest,0.8546494635529592
507,35,Random Forest,0.6471759684921264
508,40,Random Forest,0.9864470460892731
509,45,Random Forest,0.817426958284242
510,50,Random Forest,0.5374738843044202
511,55,Random Forest,0.6974878216567478
512,60,Random Forest,0.539541891553505
513,65,Random Forest,0.838760184928812
514,70,Random Forest,0.5326596430545283
515,75,Random Forest,0.729920415296095
516,80,Random Forest,0.4460482760829731
517,85,Random Forest,0.6326747456984114
518,90,Random Forest,0.7533670137793848
519,95,Random Forest,0.6387063553293604
520,100,Random Forest,0.38145412934884476
521,105,Random Forest,0.6553395906978634
522,110,Random Forest,0.5226803784904815
523,115,Random Forest,0.4542696746670199
524,120,Random Forest,0.6142144713124345
525,20,Random Forest,0.745338668985778
526,25,Random Forest,1.2565599393732945
527,30,Random Forest,0.5803840568020067
528,35,Random Forest,1.1390863381942473
529,40,Random Forest,1.2749238980860578
530,45,Random Forest,1.0410780436891622
531,50,Random Forest,0.5260328183886736
532,55,Random Forest,0.3547737816185744
533,60,Random Forest,0.6842834078679964
534,65,Random Forest,0.6556553359228562
535,70,Random Forest,1.0684726427921964
536,75,Random Forest,0.4262120261551254
537,80,Random Forest,0.4736580010034638
538,85,Random Forest,0.8230200635452442
539,90,Random Forest,0.5435261180584248
540,95,Random Forest,0.728450865540991
541,100,Random Forest,0.5768726944993366
542,105,Random Forest,0.5742236949333976
543,110,Random Forest,0.5014628997226611
544,115,Random Forest,0.3993234618311835
545,120,Random Forest,0.43069901949420625
546,20,Random Forest,1.8368277181259334
547,25,Random Forest,1.0757270887411747
548,30,Random Forest,1.1109787177484058
549,35,Random Forest,0.4058210355247468
550,40,Random Forest,0.6705756618566882
551,45,Random Forest,0.7270334126003583
552,50,Random Forest,0.482815408611626
553,55,Random Forest,0.5604441055875001
554,60,Random Forest,0.47723056954654935
555,65,Random Forest,0.6984118023165885
556,70,Random Forest,0.7592072537137067
557,75,Random Forest,0.6846846520635793
558,80,Random Forest,0.4413453874754656
559,85,Random Forest,0.5370872905793799
560,90,Random Forest,0.7247623882185649
561,95,Random Forest,0.7099965348587131
562,100,Random Forest,0.6051651469326813
563,105,Random Forest,0.4505440521430846
564,110,Random Forest,0.5351021381321943
565,115,Random Forest,0.4075743112998706
566,120,Random Forest,0.6038458930985552
567,20,Random Forest,1.0145049113823337
568,25,Random Forest,0.06952143858086057
569,30,Random Forest,0.9717542096315949
570,35,Random Forest,0.5511873316542573
